ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.358235437692201,253.1463458183743,19608.755594611135,9.5012518505185,,455.7326188008919,14.350183729504398,54.69713814579533,3.0534964579914288,0
,179.05765796584726,23349.97881339199,5.715186174439248,346.6132633042586,481.5436112591789,17.246344189786313,65.78959790787647,3.913399652391471,1
,189.2075377798016,23612.76767933085,6.351970954102987,,379.32640815667753,13.286248354738266,58.893463604902344,4.209809152886256,1
9.110454377294644,218.6370964519181,29851.834656451327,6.297045439041643,312.9844727157128,527.6621597486634,17.129960563075493,95.43126931595484,2.713294468177409,0
6.297354622599897,250.42237821995087,30014.365598265184,6.71623513446768,,373.45924376295204,13.16745335842253,84.1239949236758,4.400836958557438,0
3.670941996254467,192.11357791050276,23065.626817605105,5.090218349882684,292.31909466478595,275.20749114758837,19.17994146931347,75.45024033415723,4.318263410244475,0
,178.61995721775534,14705.192276667152,4.071776148486604,374.3617634374217,340.10487971385817,16.18792012860048,71.89961478547426,3.7643634455872155,0
7.123770510461574,189.68495654655715,25446.867674539255,5.271551021387879,306.35473632317047,317.583279869672,6.649991365178419,82.38796242508228,4.148622311443262,1
5.717157067899496,242.44280967898004,36877.582908028795,5.3248307426108825,312.86742568861365,514.9708650944001,17.3631122257012,80.16440886913654,4.217361572505943,0
,183.26530883241472,19345.96477256583,8.936171138582905,353.79846413919023,432.3110414797892,16.910615025182153,80.77942083443594,3.658404957439219,1
5.7237667876953475,164.07958214455732,23927.5074439471,6.472166986015794,,308.87077861480606,17.312871514062408,66.40369175406435,3.1660689492024154,0
7.269627281770075,143.85642282629658,14315.190074498036,6.147906437100911,,451.0506658648278,11.856861878537456,68.92462939023791,3.4960887695125717,1
,187.5613737801633,30391.207452593666,7.532715864669674,346.40663236983613,478.8930246998226,9.493444354583522,50.021486398002786,3.8184512735498655,1
7.2749805155260665,227.75370240923326,16410.57091525975,4.424998190970417,376.60074520767284,438.9200772549419,14.959939020408948,59.73100624532462,4.493891209732366,0
7.54866368862875,186.2781433292616,24905.41271448235,5.718150439465532,,379.25319760436804,12.798719530923941,47.755809414533154,2.162700334642402,0
5.260838843071519,176.23676815277514,35238.00720966582,7.257502161761945,286.4566162071788,587.707323016225,17.82971739139839,47.43539125668766,2.6812323774891103,0
,172.441147188562,15105.685803085426,7.481292186899543,,312.9553020586071,19.495235169075784,75.70059390738176,4.050624779063677,0
5.135887856686895,200.47660510700635,30428.85698786143,8.825945752162955,,443.4156003840941,16.468727562058966,46.55456294370033,5.394650384307951,0
3.9879588951323934,189.11907171820457,27589.159321763604,8.424160319369017,285.3479232377555,544.7453967423655,19.32173587456598,80.70389604453875,3.6959781484933707,0
7.585400528457093,187.94037496982617,22436.44781146964,7.114787163742257,285.328482330337,388.8761611473189,18.3313394567715,85.1376075401217,4.582128761108438,0
6.437565133409245,186.14831430583072,11889.736504190296,5.156804478122563,,336.9714998887207,15.835169321453066,99.08481761092992,3.9520387119936595,1
7.478324647363299,251.33056986515717,16135.154207049862,7.512829014683833,294.04508055749614,483.66955155782273,17.34169450126058,57.62732891404919,4.524693673438153,0
2.5733965180190452,141.14924144818514,25462.94987022606,4.4514889800546165,308.29878606308665,503.33737925293934,10.13791595885932,85.12118873484924,4.928003266131615,0
9.406420694669523,208.9657455900035,9705.301487091243,6.684161688496566,315.6223414475605,353.6079941457219,15.13263385087172,77.0798039909165,4.8242406396433335,0
8.110128134472724,170.30982654825127,24002.8435029679,7.372404470595057,302.4414150444479,541.3623172941512,10.479995186271765,87.87901781610178,4.795397021783231,0
,230.73519134820287,25342.1973913005,7.4226967090900295,329.412062266069,380.6152890736755,9.628422295212353,52.71316690474505,3.3860659838368514,1
4.238201177076686,208.32474347943432,31864.025589843724,5.37858215189093,,462.2271875786462,9.605037693082632,63.42614322743782,3.9259941748442957,0
9.910078627375551,190.0548029074178,9935.114914965952,4.793043548700886,338.8259447649222,543.5273388147796,18.220633779200572,64.12810992045921,4.475177987219695,0
5.572716173703675,205.56609582196717,34909.475133883716,6.551294592719263,337.9775455405719,483.8087587404371,13.157393948943106,71.31833428951546,4.445601695047471,0
5.398467272281278,221.0539572111171,38397.344146455405,10.29452238885554,,419.97931844029154,17.58149668144435,78.29809772829587,4.537666804288788,0
2.8211062305312913,207.8101880189112,26573.394422965066,5.5572792283612635,350.8569078970883,364.25785515903965,14.243229860158673,70.11556634554218,2.599630156152103,0
6.268599229917203,174.86072935413318,13249.953050893124,8.945678020503177,396.4639314108902,644.805969006635,8.229703858760054,90.23476509297359,5.031592408169864,0
6.490104693295645,175.47801375603868,19781.394547085783,9.644057393176704,336.0375126447085,354.5116572215779,12.85384880033025,61.50428207983981,2.6532854361856373,0
8.002008586461697,165.03190871263226,27066.25908894337,7.014460915057272,296.1338232880112,482.5863943280715,18.349347919495024,61.27373107344441,4.290139848464163,1
6.318991441465805,203.17900542958242,27910.618753246137,6.533053142312009,312.8254809843084,397.69408111303335,15.760500953350782,81.76058589699028,3.0555820744266717,1
7.2983946676962725,205.26676738273036,25779.783471174087,6.960888717820163,351.5151132833136,256.5483594239441,9.332231523054425,62.2677611995914,4.518974165094246,1
7.7117327425976585,169.77987490666644,25386.719314630474,7.281483496569143,282.71761219355994,596.6254053482396,20.190296970404955,60.14045920073876,5.213351705641729,0
8.712114128208718,155.7317415644663,21965.12983248007,5.489523233676476,282.9452277175785,423.94834279238137,13.713810663272307,63.277619937370446,3.089955910917889,0
8.045407847789669,213.9367307091535,22255.18992958811,6.23113697791198,305.88533076328713,458.0495197682251,11.709508066000701,55.84403549827782,2.971038450381252,1
8.846725355339535,193.6372334247849,18563.18452531591,7.721085748647063,340.663468855433,548.839078781426,11.970030196667427,71.69638195202248,2.4351867169308496,0
,190.6542367102771,19688.68220376129,8.536848693886531,404.81268799311755,408.7216158764646,16.130671174185384,60.05359669628993,4.157912311209089,0
8.865249610334363,246.81660882442316,17500.568431614658,6.401256657763842,,492.71002005558546,14.131975624991709,85.41985700004666,3.879369042124369,0
6.77360334926829,216.7194336445428,40438.78771743746,6.83247293969031,282.05536629441,436.13435660352104,9.143903681418923,35.238322184783726,3.033201784560181,0
6.166694507791716,178.99642662672298,16923.467977041346,7.917481574203645,,426.5374529447281,12.451302962518835,75.43903874613824,2.7485248302946674,1
